year,f024,f161,f162,h125,h126,h133,h134,age_m,age_w,edu_m,edu_w,gen_m,gen_w,NSIB018H,NSIB018DH,FB,girl
2015,,,,no,,once or twice a week,yes,51,52,3,3,1,1,1,0,0,0
2016,no,very good,good,no,,three of four days per week,yes,52,53,3,3,1,1,1,0,0,0
2009,,,,,,,,52,48,2,3,1,1,2,0,1,0
2010,,,,,,,,53,,2,,1,,2,0,0,0
2010,,,,,,,,53,,2,,1,,2,0,1,0
2011,,,,,,,,54,,2,,1,,2,0,0,0
2011,,,,,,,,54,,2,,1,,2,0,1,0
2012,,,,,,,,55,,2,,1,,2,0,0,0
2012,,,,,,,,55,,2,,1,,2,0,0,0
2012,,,,,,,,55,,2,,1,,2,0,1,0
2013,,,,,,,,56,,2,,1,,2,0,0,0
2013,,,,,,,,56,,2,,1,,2,0,0,0
2014,,,,,,,,57,,2,,1,,2,0,0,0
2008,,,,,,,,55,46,2,2,1,1,1,1,0,0
2008,,,,no,,once or twice a year,no,55,46,2,2,1,1,1,0,1,0
2009,,,,no,,five or six days per week,yes,56,47,2,2,1,1,1,1,0,0
2010,no,good,good,yes,"no, I stopped",once or twice a week,no,57,47,2,2,1,1,1,1,0,0
2011,no,good,good,yes,yes,once or twice a month,yes,58,50,2,2,1,1,1,1,0,0
2008,,,,,,,,46,44,1,2,1,1,2,2,1,1
2009,no,very good,good,no,,not at all over the last 12 months,,47,46,1,2,1,1,2,2,1,1
2010,no,very good,good,no,,once or twice a year,yes,48,47,1,2,1,1,2,2,1,1
2010,,,,no,,once or twice a month,no,48,46,1,2,1,1,2,2,0,1
2011,,,,no,,once or twice a year,no,49,47,1,2,1,1,2,2,1,1
2011,yes,good,good,no,,once every two months,no,49,48,1,2,1,1,2,2,0,1
2012,yes,good,good,no,,once or twice a month,no,50,49,1,2,1,1,2,2,0,1
2013,,,,,,,,51,49,1,2,1,1,2,2,0,1
2013,yes,very good,good,no,,once or twice a month,no,51,50,1,2,1,1,2,2,0,1
2014,no,very good,good,,,,,52,51,1,2,1,1,2,2,0,1
2015,no,very good,good,no,,once or twice a year,no,53,52,1,2,1,1,2,2,0,1
2016,no,very good,good,no,,once or twice a year,no,54,53,1,2,1,1,2,2,0,1
2016,,,,,,,,46,43,2,2,1,1,1,0,1,0
2008,,,,,,,,50,45,1,2,4,4,1,0,1,1
2009,no,very good,very good,no,,once or twice a month,yes,51,46,1,2,4,4,1,0,1,1
2012,,,,,,,,54,49,1,2,1,1,1,1,0,0
2013,,,,,,,,55,50,1,2,1,1,1,1,0,0
2014,,,,,,,,56,51,1,2,1,1,1,1,0,0
2008,yes,very good,very good,yes,yes,once or twice a month,no,46,42,1,1,1,1,1,1,1,1
2009,,,,,,,,47,42,1,1,1,1,1,1,0,1
2009,,,,yes,yes,once every two months,no,47,42,1,1,1,1,1,1,1,1
2010,no,good,very good,no,,once or twice a month,no,48,44,1,1,1,1,1,1,0,1
2011,no,good,good,no,,almost every day,yes,49,45,1,1,1,1,2,1,0,1
2012,no,good,very good,no,,once or twice a week,yes,50,46,1,1,1,1,2,1,0,1
2008,,,,,,,,41,38,2,2,1,1,1,0,1,0
2009,no,good,good,yes,yes,once or twice a week,yes,43,39,2,2,1,1,1,0,1,0
2010,no,very good,very good,yes,yes,once or twice a week,yes,44,40,2,2,1,1,1,0,1,0
2011,no,very good,very good,yes,yes,once or twice a week,yes,45,41,2,2,1,1,1,0,1,0
2012,,,,yes,"no, I stopped",once or twice a month,no,45,42,2,2,1,1,1,0,0,0
2013,,,,yes,"no, I stopped",once or twice a month,yes,46,43,2,2,1,1,1,0,0,0
2014,no,good,good,,,,,48,44,2,2,1,1,1,0,0,0
2008,,,,,,,,45,41,1,1,4,4,1,1,1,0
2009,,,,,,,,46,42,1,1,4,4,1,1,1,0
2010,,,,,,,,47,43,1,1,4,4,1,0,0,0
2010,,,,,,,,47,43,1,1,4,4,1,1,1,0
2008,no,good,good,no,,once or twice a week,yes,43,42,2,2,1,1,1,0,0,0
2009,no,good,good,no,,once or twice a week,yes,44,43,2,2,1,1,1,0,0,0
2010,no,good,good,no,,three of four days per week,yes,45,44,2,2,1,1,2,1,0,0
2011,no,good,good,no,,once or twice a week,yes,46,45,2,2,1,1,2,1,0,0
2008,,,,,,,,47,44,2,1,1,2,0,0,1,0
2009,,,,,,,,48,45,2,1,1,2,0,0,1,0
2010,,,,,,,,49,46,2,1,1,2,0,0,1,0
2016,,,,,,,,51,57,2,2,4,4,0,0,1,0
2010,,,,,,,,44,41,2,2,4,4,1,0,1,0
2011,,,,,,,,45,42,2,2,4,4,1,0,1,0
2009,,,,no,,once every two months,no,43,43,2,2,1,1,0,0,1,0
2010,no,very good,very good,no,,not at all over the last 12 months,,44,44,2,2,1,1,0,0,1,0
2011,no,good,good,no,,once or twice a week,yes,45,45,2,2,1,1,0,0,1,0
2012,,,,,,,,46,46,2,2,1,1,0,0,1,0
2008,,,,,,,,46,46,3,3,4,4,1,1,1,0
2008,,,,,,,,42,38,1,3,4,4,1,0,1,0
2009,,,,,,,,43,39,1,3,4,4,1,0,1,0
2010,,,,,,,,44,40,1,3,4,4,1,0,1,0
2011,,,,,,,,45,41,1,3,4,4,1,0,1,0
2016,,,,,,,,46,53,3,2,4,4,1,1,1,0
2016,,,,,,,,46,53,3,2,4,4,1,1,1,0
2011,,,,no,,once or twice a week,yes,45,45,3,3,1,1,2,1,1,1
2012,no,very good,very good,no,,once or twice a month,no,47,47,3,3,1,1,2,1,1,1
2013,,,,,,,,47,47,3,3,1,1,2,2,0,0
2013,yes,fairly good,fairly good,no,,once or twice a month,no,48,48,3,3,1,1,2,1,1,1
2014,no,good,good,,,,,49,49,3,3,1,1,2,2,0,0
2014,no,fairly good,fairly good,,,,,49,49,3,3,1,1,2,1,1,1
2015,no,very good,good,,,,,50,50,3,3,1,1,1,1,0,0
2015,,,,,,,,49,50,3,3,1,1,1,0,0,0
2016,,,,,,,,50,51,3,3,1,1,1,1,0,0
2016,,,,,,,,50,51,3,3,1,1,1,0,0,0
2011,,,,,,,,47,40,1,1,4,4,2,1,1,0
2012,,,,,,,,48,41,1,1,4,4,2,1,1,0
2013,,,,,,,,49,42,1,1,4,4,2,1,1,0
2014,,,,,,,,50,43,1,1,4,4,2,1,0,0
2014,,,,,,,,50,43,1,1,4,4,2,1,1,0
2015,,,,,,,,51,45,1,1,4,4,2,1,0,0
2016,,,,,,,,52,46,1,1,4,4,2,1,0,0
2010,no,very good,very good,no,,once every two months,no,45,48,2,2,2,1,1,0,1,0
2011,no,very good,good,,,,,46,49,2,2,2,1,1,0,1,0
2011,,,,,,,,46,49,2,2,2,1,1,0,0,0
2012,,,,,,,,47,50,2,2,2,1,1,0,0,0
2013,,,,,,,,48,51,2,2,2,1,1,0,0,0
2014,,,,,,,,49,52,2,2,2,1,1,0,0,0
2015,no,very good,good,no,,not at all over the last 12 months,,49,48,1,1,1,1,1,1,1,0
2015,no,very good,very good,yes,yes,not at all over the last 12 months,,49,48,1,1,1,1,1,0,1,1
2016,no,very good,very good,no,,not at all over the last 12 months,,50,49,1,1,1,1,1,1,1,0
2016,yes,very good,very good,yes,yes,not at all over the last 12 months,,50,49,1,1,1,1,1,0,1,1
2012,,,,no,,once or twice a year,no,54,46,1,2,1,1,2,1,1,1
2012,,,,no,,once or twice a year,no,54,46,1,2,1,1,2,1,1,1
2013,no,very good,very good,no,,once every two months,no,56,48,1,2,1,1,2,1,1,1
2013,no,very good,very good,no,,once or twice a year,no,56,48,1,2,1,1,2,1,1,1
2014,no,very good,very good,,,,,57,49,1,2,1,1,2,1,1,1
2014,no,good,very good,,,,,57,49,1,2,1,1,2,1,1,1
2015,no,very good,very good,,,,,58,50,1,2,1,1,2,1,1,1
2015,,,,no,,once or twice a year,no,57,49,1,2,1,1,2,1,1,1
2015,no,very good,very good,,,,,58,50,1,2,1,1,2,2,0,0
2016,no,good,very good,no,,once or twice a month,no,59,51,1,2,1,1,2,2,0,0
2013,,,,no,,once or twice a week,yes,50,46,2,3,1,1,2,2,1,0
2014,no,very good,very good,,,,,51,47,2,3,1,1,2,2,1,0
2015,,,,,,,,52,49,2,3,4,4,2,1,0,1
2015,no,very good,very good,,,,,52,48,2,3,1,1,2,2,1,0
2016,no,good,good,no,,once or twice a week,yes,53,50,2,3,4,4,2,1,0,1
2012,,,,,,,,50,45,1,2,1,1,2,1,0,0
2012,yes,very good,very good,no,,once or twice a week,yes,51,46,1,2,1,1,2,1,1,0
2013,no,very good,very good,,,,,52,47,1,2,1,1,2,1,0,0
2013,no,very good,very good,,,,,52,47,1,2,1,1,2,1,1,0
2014,no,very good,very good,,,,,53,48,1,,1,,1,0,0,0
2015,no,very good,very good,yes,yes,once or twice a week,yes,54,49,1,,1,,1,0,0,0
2012,no,very good,very good,no,,once or twice a month,yes,48,44,3,3,1,1,0,0,1,0
2008,yes,very good,very good,no,,once or twice a month,no,44,42,2,1,1,1,1,0,1,1
2009,yes,very good,very good,no,,once or twice a week,no,45,43,2,1,1,1,1,0,1,1
2009,,,,no,,once or twice a week,yes,44,43,2,1,1,1,1,1,0,0
2010,yes,very good,very good,,,,,46,44,2,1,1,1,1,0,1,1
2010,no,very good,very good,,,,,45,44,2,1,1,1,1,1,0,0
2011,,,,,,,,46,45,2,1,1,1,1,1,0,0
2012,,,,,,,,47,46,2,1,1,1,1,1,0,0
2010,,,,,,,,48,46,1,1,4,4,1,1,1,0
2012,,,,,,,,52,50,3,3,1,1,1,1,1,0
2013,,,,,,,,53,51,3,3,4,4,1,1,0,0
2013,,,,,,,,53,51,3,3,1,1,1,1,1,0
2014,,,,,,,,54,52,3,3,4,4,1,1,0,0
2014,,,,,,,,54,52,3,3,1,1,1,1,1,0
2015,,,,,,,,55,54,3,3,4,4,1,1,0,0
2016,,,,,,,,56,55,3,3,4,4,1,1,0,0
2010,,,,,,,,44,43,3,2,1,1,1,0,1,0
2011,,,,,,,,45,44,3,2,1,1,1,0,1,0
2012,,,,,,,,46,45,3,2,1,1,1,0,1,0
2012,,,,,,,,46,45,3,2,1,1,1,0,0,0
2012,,,,,,,,46,44,1,2,1,1,1,1,1,0
2013,,,,no,,not at all over the last 12 months,,47,45,1,2,1,1,1,1,1,0
2014,no,good,very good,,,,,48,47,1,2,1,1,1,1,1,0
2015,,,,,,,,49,47,1,2,1,1,1,0,0,1
2015,no,good,good,no,,once or twice a month,yes,49,48,1,2,1,1,1,1,1,0
2016,no,very good,very good,no,,once or twice a year,no,51,49,1,2,1,1,1,0,0,1
2011,,,,,,,,49,48,1,2,4,4,1,1,1,1
2012,no,very good,good,yes,"no, I stopped",once or twice a month,yes,50,49,1,2,4,4,1,1,1,1
2013,,,,,,,,51,50,1,2,4,4,1,1,0,1
2015,,,,,,,,45,42,2,3,1,1,1,1,1,0
2016,,,,,,,,46,43,2,3,1,1,1,1,1,0
2009,,,,,,,,48,48,2,3,4,4,1,0,1,0
2010,,,,,,,,49,49,2,3,4,4,1,0,1,0
2011,,,,,,,,50,50,2,3,4,4,1,1,0,0
2011,,,,,,,,50,50,2,3,4,4,1,0,1,0
2012,,,,,,,,51,51,2,3,4,4,1,1,0,0
2012,,,,,,,,51,51,2,3,4,4,1,0,1,0
2013,,,,,,,,52,52,2,3,4,4,1,1,0,0
2014,,,,,,,,53,53,2,3,4,4,1,1,0,0
2008,,,,,,,,55,53,1,3,1,1,0,0,1,0
2009,,,,,,,,56,54,1,3,1,1,0,0,1,0
2010,,,,,,,,45,43,1,1,1,1,1,0,1,0
2011,,,,no,,once or twice a week,no,43,46,3,2,1,1,1,1,1,0
2012,no,very good,very good,,,,,45,48,3,2,1,1,1,1,1,0
2012,,,,,,,,44,47,3,2,1,1,1,0,0,0
2013,no,,,,,,,46,49,3,2,1,1,1,1,1,0
2013,,,,,,,,45,48,3,2,1,1,1,0,0,0
2014,,,,,,,,46,49,3,2,1,1,1,1,1,0
2014,,,,,,,,46,49,3,2,1,1,1,0,0,0
2015,,,,,,,,47,51,3,2,1,1,1,0,0,0
2013,,,,,,,,44,44,2,3,1,1,2,1,0,0
2014,,,,,,,,45,45,2,3,1,1,2,1,0,0
2015,,,,,,,,47,46,2,3,1,1,2,1,1,0
2015,,,,,,,,47,46,2,3,1,1,2,0,0,0
2016,,,,,,,,48,47,2,3,1,1,2,1,1,0
2016,,,,,,,,48,47,2,3,1,1,2,0,0,0
2008,no,very good,very good,yes,"no, I stopped",once or twice a year,no,47,42,1,1,1,1,1,0,1,1
2009,no,very good,good,no,,once or twice a year,no,48,43,1,1,1,1,1,0,1,1
2009,,,,,,,,48,43,1,1,1,1,1,1,0,0
2010,,,,no,,once or twice a year,no,49,44,1,1,1,1,1,1,0,0
2011,no,good,fairly good,yes,yes,not at all over the last 12 months,,50,45,1,1,1,1,1,1,0,0
2012,,,,,,,,51,46,1,1,1,1,1,1,0,0
2008,,,,,,,,44,42,3,3,1,1,1,1,1,1
2009,no,very good,very good,no,,not at all over the last 12 months,,46,44,3,3,1,1,1,1,1,1
2010,,,,no,,once every two months,no,46,44,3,3,1,1,1,1,0,1
2010,no,fairly good,good,no,,once or twice a year,yes,47,45,3,3,1,1,1,1,1,1
2011,no,very good,very good,no,,once or twice a month,no,48,46,3,3,1,1,1,1,0,1
2011,no,very good,very good,no,,once every two months,no,48,46,3,3,1,1,1,1,1,1
2012,no,very good,very good,no,,once or twice a week,yes,49,47,3,3,1,1,1,1,0,1
2013,yes,very good,good,no,,once or twice a week,yes,50,48,3,3,1,1,1,1,0,1
2009,,,,,,,,44,37,2,1,1,1,1,1,1,0
2010,no,very good,very good,no,,not at all over the last 12 months,,46,39,2,1,1,1,1,1,1,0
2011,no,good,very good,no,,not at all over the last 12 months,,47,40,2,1,1,1,1,1,1,0
2012,no,very good,very good,no,,not at all over the last 12 months,,48,41,2,1,1,1,1,1,1,0
2012,,,,,,,,47,40,2,1,1,1,1,0,0,1
2013,yes,fairly good,good,,,,,49,41,2,1,1,1,1,0,0,1
2014,,,,,,,,49,42,2,1,1,1,1,0,0,1
2015,,,,,,,,45,39,2,2,4,4,1,1,1,0
2016,,,,,,,,46,40,2,2,4,4,1,1,1,0
2015,,,,,,,,,44,,2,,1,1,0,0,0
2016,,,,no,,not at all over the last 12 months,,,45,,2,,1,1,0,0,0
2015,,,,,,,,,47,,2,,1,1,0,1,1
2016,no,very good,fairly good,no,,once or twice a week,no,47,48,,2,,1,1,0,1,1
2010,,,,,,,,56,52,3,2,1,3,1,0,0,0
2011,,,,,,,,57,53,3,2,1,3,1,0,0,0
2012,,,,,,,,58,54,3,2,1,3,1,0,0,0
2013,,,,,,,,59,55,3,2,1,3,1,0,0,0
2013,,,,,,,,59,55,3,2,1,3,1,0,1,0
2014,,,,,,,,60,56,3,2,1,3,1,0,0,0
2015,,,,,,,,61,57,3,2,1,3,1,0,0,0
2015,,,,,,,,61,57,3,2,1,3,1,0,0,0
2016,,,,,,,,62,58,3,2,1,3,1,0,0,0
2008,,,,,,,,51,44,3,2,4,4,2,0,1,0
2015,,,,,,,,46,44,2,2,1,1,1,1,1,1
2016,no,very good,very good,no,,not at all over the last 12 months,,48,45,2,2,1,1,1,1,1,1
2008,,,,,,,,50,52,2,2,4,4,0,0,1,0
2008,,,,,,,,51,48,3,1,1,1,2,1,0,0
2008,,,,,,,,51,48,3,1,4,4,2,2,1,0
2009,,,,,,,,52,49,3,1,1,1,2,1,0,0
2010,,,,,,,,53,50,3,1,1,1,2,1,0,0
2011,,,,,,,,54,51,3,1,1,1,2,1,0,0
2011,,,,,,,,54,51,3,1,4,4,2,1,0,0
2012,,,,,,,,55,52,3,1,4,4,2,1,0,0
2013,,,,,,,,56,53,3,1,4,4,2,1,0,0
2014,,,,,,,,57,54,3,1,4,4,2,1,0,0
2008,no,good,good,no,,once or twice a week,yes,46,41,2,3,1,1,2,1,1,0
2008,no,fairly good,fairly good,no,,not at all over the last 12 months,,39,40,2,1,1,1,4,1,1,1
2009,no,good,good,no,,not at all over the last 12 months,,40,41,2,1,1,1,4,1,1,1
2009,,,,no,,not at all over the last 12 months,,39,41,2,1,1,1,4,1,0,0
2010,no,good,good,no,,once every two months,yes,41,42,2,1,1,1,4,1,1,1
2010,,,,,,,,40,42,2,1,1,1,4,1,0,0
2011,,,,,,,,41,43,2,1,1,1,4,1,0,0
2011,,,,,,,,41,43,2,1,1,1,4,2,0,0
2012,,,,,,,,42,44,2,1,1,1,4,2,0,0
2012,,,,,,,,42,44,2,1,1,1,4,1,0,0
2012,,,,,,,,42,44,2,1,1,1,4,2,0,0
2013,,,,yes,"no, I stopped",once or twice a week,yes,43,45,2,1,1,1,4,2,0,0
2013,,,,,,,,43,45,2,1,1,1,4,2,0,0
2014,,,,,,,,44,46,2,2,1,1,4,2,0,0
2014,,,,,,,,44,46,2,2,1,1,4,2,0,0
2014,,,,,,,,44,46,2,2,1,1,4,2,0,0
2012,,,,,,,,36,41,3,2,4,4,0,0,1,0
2013,,,,,,,,37,42,3,2,4,4,0,0,1,0
2014,,,,,,,,38,43,3,2,4,4,0,0,1,0
2015,,,,,,,,39,44,3,2,4,4,0,0,1,0
2008,no,very good,very good,yes,yes,once or twice a week,yes,44,43,1,1,1,1,0,0,1,0
2009,yes,very good,very good,yes,yes,once or twice a week,yes,45,44,1,1,1,1,0,0,1,0
2010,yes,not so good,not so good,yes,yes,once or twice a week,yes,46,45,2,1,1,1,0,0,1,0
2015,yes,good,good,no,,once or twice a month,yes,47,42,3,1,4,4,1,0,1,1
2016,yes,good,very good,no,,once or twice a year,no,48,43,3,1,4,4,1,0,1,1
2008,yes,very good,good,no,,once or twice a week,yes,57,50,1,2,1,1,2,1,1,1
2009,yes,good,fairly good,no,,once every two months,yes,58,51,1,2,1,1,2,1,1,1
2010,yes,very good,good,no,,once every two months,no,59,52,1,2,1,1,2,1,1,1
2010,,,,yes,yes,once or twice a week,yes,58,51,1,2,4,4,2,1,0,1
2011,no,very good,good,yes,yes,once or twice a week,yes,59,53,1,2,4,4,2,1,0,1
2012,yes,very good,fairly good,yes,yes,three of four days per week,,60,54,1,2,4,4,2,1,0,1
2013,yes,good,fairly good,yes,yes,once or twice a week,yes,,55,,2,,1,1,0,0,1
2015,,,,,,,,,57,,2,,1,2,2,0,0
2016,,,,,,,,,58,,2,,1,2,2,0,0
2008,no,fairly good,good,yes,yes,once or twice a week,yes,54,53,1,2,2,1,1,1,0,0
2008,yes,very good,good,no,,once or twice a week,no,54,53,1,2,2,1,1,0,1,1
2009,no,fairly good,fairly good,yes,yes,five or six days per week,no,55,54,2,2,2,1,1,1,0,0
2008,yes,fairly good,not so good,no,,once or twice a year,no,48,45,3,2,1,1,2,1,0,1
2008,no,good,good,no,,once or twice a week,no,48,45,3,2,1,1,2,1,0,1
2009,yes,fairly good,fairly good,no,,once every two months,no,49,46,3,2,1,1,2,1,0,1
2010,yes,good,good,no,,once or twice a year,yes,50,47,3,2,1,1,2,1,0,1
2010,,,,no,,once or twice a month,yes,49,46,3,2,1,1,2,2,0,0
2011,no,good,fairly good,no,,once or twice a week,yes,51,48,3,2,1,1,2,2,0,0
2012,no,good,fairly good,no,,once or twice a week,yes,52,49,3,2,1,1,1,1,0,0
2013,,,,,,,,52,49,3,2,1,1,0,0,0,0
2016,,,,,,,,46,43,2,2,1,1,1,0,1,0
2008,no,good,very good,no,,once or twice a week,yes,44,44,2,3,3,1,1,1,1,0
2009,no,good,good,no,,once or twice a month,yes,40,45,2,3,3,1,1,1,1,0
2009,,,,,,,,44,45,2,3,3,1,1,0,0,0
2010,,,,,,,,45,46,2,3,3,1,1,0,0,0
2011,,,,,,,,46,47,2,3,3,1,1,0,0,0
2012,,,,,,,,47,48,2,3,3,1,1,0,0,0
2016,,,,,,,,42,38,2,3,1,1,2,1,1,0
2012,,,,,,,,49,49,2,1,4,4,1,0,1,0
2013,,,,,,,,50,50,2,1,4,4,1,0,1,0
2008,,,,,,,,42,42,1,1,4,4,1,1,1,0
2009,,,,,,,,43,43,1,1,4,4,1,1,1,0
2009,,,,,,,,43,43,1,1,1,1,1,0,0,1
2010,,,,,,,,44,44,1,1,4,4,1,1,1,0
2010,no,very good,very good,no,,once or twice a month,no,45,45,1,1,1,1,1,0,0,1
2011,no,good,very good,no,,once or twice a month,no,46,46,1,1,1,1,1,0,0,1
2012,no,very good,very good,no,,once or twice a week,yes,47,47,1,1,1,1,1,0,0,1
2008,,,,,,,,48,47,3,3,1,1,1,1,0,1
2008,no,very good,very good,no,,three of four days per week,yes,49,48,3,3,1,1,1,1,1,1
2009,no,good,good,yes,"no, I stopped",once or twice a month,no,50,49,3,3,1,1,1,1,0,1
2009,no,very good,very good,no,,three of four days per week,yes,50,49,3,3,1,1,1,1,1,1
2010,yes,very good,very good,,,,,51,50,3,3,1,1,1,1,0,1
2011,yes,good,good,yes,"no, I stopped",once or twice a week,yes,52,51,3,3,1,1,1,1,0,1
2008,,,,,,,,47,44,3,1,1,1,1,0,0,1
2008,yes,very good,very good,no,,once or twice a month,no,48,45,3,1,1,1,1,1,1,0
2009,yes,good,good,no,,once or twice a month,no,49,46,3,1,1,1,1,0,0,1
2009,no,very good,very good,no,,three of four days per week,yes,49,46,3,1,1,1,1,1,1,0
2010,no,very good,very good,no,,once or twice a week,yes,50,47,3,1,1,1,1,0,0,1
2011,no,very good,good,no,,once or twice a week,yes,51,48,3,1,1,1,1,0,0,1
2009,,,,,,,,55,45,2,1,1,1,1,1,0,1
2010,no,very good,good,,,,,57,48,2,1,1,1,1,1,0,1
2011,no,very good,good,,,,,58,49,2,1,1,1,1,1,0,1
2012,no,very good,very good,no,,once or twice a month,yes,59,50,2,1,1,1,1,1,0,1
2008,,,,,,,,48,46,2,3,4,4,1,1,0,0
2008,,,,,,,,48,46,2,3,4,4,1,0,1,0
2011,,,,,,,,53,38,3,3,1,2,1,0,1,1
2012,yes,very good,very good,no,,almost every day,yes,54,40,3,3,1,2,1,0,1,1
2013,yes,good,very good,,,,,55,41,3,3,1,2,1,0,1,1
2014,,,,,,,,56,41,3,3,1,2,1,0,1,1
2015,,,,,,,,58,43,3,3,1,2,1,1,0,0
2016,no,good,very good,no,,once or twice a month,no,59,44,3,3,1,2,1,1,0,0
2008,no,very good,very good,,,,,47,46,2,2,1,1,2,0,1,1
2009,,,,,,,,47,46,2,2,1,1,2,0,1,1
2009,,,,,,,,47,46,2,2,1,1,2,1,0,0
2010,,,,,,,,48,47,2,2,1,1,2,0,1,1
2010,,,,,,,,48,47,2,2,1,1,2,1,0,0
2013,,,,no,,once or twice a month,yes,39,39,3,2,1,1,1,1,0,0
2014,yes,good,,,,,,40,41,3,2,1,1,1,1,0,0
2015,yes,good,good,no,,once or twice a month,yes,42,42,3,2,1,1,1,1,1,0
2012,,,,,,,,48,46,2,1,4,4,1,1,1,0
2012,no,very good,good,no,,once or twice a month,yes,49,47,2,1,1,1,1,1,0,1
2013,yes,very good,good,,,,,50,48,2,1,1,1,1,1,0,1
2014,,,,,,,,50,48,2,1,1,1,0,0,0,1
2014,,,,,,,,46,43,3,2,1,2,1,1,1,0
2008,no,very good,very good,no,,once or twice a year,no,51,52,2,2,1,1,0,0,1,0
2009,no,very good,very good,no,,once or twice a year,no,52,53,2,2,1,1,0,0,1,0
2010,no,very good,very good,no,,once or twice a year,no,53,54,2,2,1,1,0,0,1,0
2015,,,,,,,,48,46,1,3,4,4,2,1,1,0
2016,,,,,,,,49,47,1,3,4,4,2,1,1,0
2009,,,,,,,,44,45,2,2,1,1,1,0,1,0
2010,no,good,good,,,,,46,47,2,2,1,1,1,0,1,0
2011,,,,,,,,46,47,2,2,1,1,1,0,1,0
2012,,,,,,,,47,48,2,2,1,1,1,0,0,0
2012,,,,,,,,47,48,2,2,1,1,1,0,1,0
2013,no,very good,very good,no,,not at all over the last 12 months,,50,50,2,2,1,1,0,0,0,0
2014,no,very good,very good,,,,,51,51,2,2,1,1,0,0,0,0
2015,no,very good,very good,no,,once or twice a week,yes,52,52,2,2,1,1,0,0,0,0
2014,,,,,,,,43,37,1,1,4,4,3,2,1,0
2011,,,,no,,once or twice a month,yes,50,49,3,3,4,4,1,0,1,1
2012,,,,,,,,51,50,3,3,4,4,1,1,0,0
2012,no,very good,fairly good,,,,,51,51,3,3,4,4,1,0,1,1
2013,,,,,,,,52,51,3,3,4,4,1,1,0,0
2013,no,very good,not so good,,,,,52,52,3,3,4,4,1,0,1,1
2014,no,very good,good,,,,,53,53,3,3,4,4,0,0,0,0
2015,no,very good,good,,,,,54,54,3,3,4,4,1,1,0,0
2014,,,,,,,,48,48,2,2,1,1,1,0,1,0
2014,,,,,,,,48,48,2,2,1,1,1,1,0,0
2015,no,very good,very good,,,,,49,50,2,2,1,1,1,1,0,0
2016,,,,no,,once or twice a week,yes,50,51,2,2,1,1,1,1,0,0
2012,,,,,,,,40,40,3,2,1,1,2,1,1,1
2013,no,good,good,,,,,42,41,3,2,1,1,2,1,1,1
2014,,,,,,,,42,42,3,2,1,1,2,1,1,1
2015,no,very good,very good,,,,,44,43,3,2,1,1,2,1,0,1
2015,,,,,,,,44,43,3,2,1,1,2,1,1,1
2016,no,very good,very good,no,,once or twice a year,no,45,44,3,2,1,1,2,1,0,1
2010,,,,,,,,51,,3,,4,4,3,2,1,0
2014,,,,,,,,49,48,2,2,1,1,0,0,1,1
2015,yes,very good,very good,no,,once or twice a year,no,51,49,2,2,1,1,0,0,1,1
2016,no,very good,good,no,,once or twice a year,no,52,50,2,2,1,1,0,0,1,1
2009,,,,no,,once or twice a month,no,45,43,1,1,1,1,1,0,1,1
2010,no,good,good,no,,once or twice a week,yes,47,45,1,1,1,1,1,0,1,1
2011,no,good,good,,,,,48,46,1,1,1,1,1,0,1,1
2011,,,,no,,once or twice a week,no,47,45,1,1,1,1,1,1,0,0
2012,no,good,good,no,,once or twice a week,yes,49,47,1,1,1,1,1,0,1,1
2012,yes,very good,very good,,,,,49,47,1,1,1,1,1,1,0,0
2013,yes,very good,very good,no,,once or twice a week,yes,50,48,1,1,1,1,1,1,0,0
2014,yes,very good,very good,,,,,51,49,1,1,1,1,1,1,0,0
2008,no,very good,good,no,,once every two months,no,47,43,1,2,1,1,1,1,1,1
2008,,,,no,,once or twice a year,yes,46,42,1,2,1,1,1,1,0,1
2009,no,very good,good,no,,once or twice a week,yes,48,44,1,2,1,1,1,1,1,1
2009,no,very good,very good,no,,once or twice a month,no,48,44,1,2,1,1,1,1,0,1
2010,no,very good,good,,,,,49,45,1,2,1,1,1,1,0,1
2011,,,,,,,,49,45,1,2,1,1,1,1,0,1
2008,,,,,,,,51,46,2,2,1,1,0,0,1,0
2015,,,,,,,,48,53,3,3,1,3,1,0,1,1
2016,no,very good,very good,no,,not at all over the last 12 months,,49,54,3,3,1,3,1,0,1,1
2008,,,,,,,,44,42,3,2,1,1,1,1,0,0
2008,no,very good,good,no,,once or twice a week,yes,45,42,3,2,1,1,1,0,1,1
2009,,,,,,,,45,43,3,2,1,1,1,1,0,0
2009,no,fairly good,fairly good,,,,,46,43,3,2,1,1,1,0,1,1
2010,no,good,good,,,,,47,44,3,2,1,1,1,1,0,0
2011,no,good,good,,,,,48,45,3,2,1,1,1,1,0,0
2012,,,,,,,,59,56,3,3,1,1,0,0,1,0
2014,,,,,,,,51,48,2,2,4,4,1,1,1,0
2015,,,,,,,,53,50,2,2,4,4,1,1,1,0
2012,,,,,,,,48,47,3,2,4,4,1,0,1,0
2013,,,,,,,,49,48,3,2,4,4,1,1,0,0
2013,,,,,,,,49,48,3,2,4,4,1,0,1,0
2014,,,,,,,,50,49,3,2,4,4,1,1,0,0
2015,,,,,,,,51,50,3,2,4,4,1,1,0,0
2014,,,,,,,,47,41,1,2,1,1,3,1,1,0
2015,,,,,,,,48,42,1,2,1,1,3,1,0,0
